light_curve_id,kind,zooniverse_id,p_radius,p_period
639884,3,APH10248455,4.28,7.5
639885,3,APH10667917,2.64,7.33
639886,3,APH10382612,13.27,12.98
639887,3,APH10535408,6.4,0.6
639888,3,APH10641050,5.61,6.86
639889,3,APH10257134,2.63,8.86
639890,3,APH10675815,3.98,0.94
639891,3,APH10417888,6.17,13.3
639892,3,APH10702378,4.3,8.42
639893,3,APH10736739,10,6.28
639894,3,APH10916655,4.82,14.18
639895,3,APH10308842,2.03,3.41
639896,3,APH10630227,2.7,1.46
639897,3,APH10255508,2.2,5.71
639898,3,APH10902910,6.29,11.21
639899,3,APH10223507,3.09,13.87
639900,3,APH10756264,14.47,2.51
639901,3,APH10597573,6.42,6.16
639902,3,APH10913249,3.59,7.92
639903,3,APH10841596,2.37,0.77
639904,3,APH10526653,3.26,2.6
639905,3,APH10636643,5.63,3.87
639906,3,APH10330325,7.98,9.22
639907,3,APH10195377,2.82,6.01
639908,3,APH10988091,2.21,1.38
639909,3,APH10408942,5.06,2.06
639910,3,APH10295107,6.46,5.41
639911,3,APH10557350,6.36,5.14
639912,3,APH10198644,2.98,4.19
639913,3,APH10351852,2.33,4.99
639914,3,APH10507865,7.64,0.7
639915,3,APH10278483,7.93,9.91
639916,3,APH10787378,2.99,6.29
639917,3,APH10536823,2.07,6.46
639918,3,APH10447743,5.26,11.89
639919,3,APH10434636,2.81,3.14
639920,3,APH10788413,7.65,12.34
639921,3,APH10739241,5.47,13.09
639922,3,APH10356114,3.65,9.76
639923,3,APH10276185,9.05,8.44
639924,3,APH10780145,2.64,11.22
639925,3,APH10947070,2.13,6.33
639926,3,APH10415852,6.2,13.42
639927,3,APH10509074,14.55,14.12
639928,3,APH10635834,3.43,12.39
639929,3,APH10826035,2.41,7
639930,3,APH10776475,2.68,3.81
639931,3,APH10810296,4.24,0.97
639932,3,APH10677632,4.2,12.09
639933,3,APH10217032,2.26,3.66
639934,3,APH10977692,3.76,3.31
639935,3,APH10607625,2.71,9.64
639936,3,APH10174858,2.83,0.83
639937,3,APH10716258,2.47,1.76
639938,3,APH10592628,13.81,8.13
639939,3,APH10338053,2.89,9.4
639940,3,APH10826734,2.1,0.75
639941,3,APH10406202,8.71,6.5
639942,3,APH10414179,11.72,7.43
639943,3,APH10830834,3.09,4.38
639944,3,APH10194698,3.94,4.54
639945,3,APH10978135,10.51,5.99
639946,3,APH10638565,4.47,2.09
639947,3,APH10655513,2.85,14.8
639948,3,APH10964846,3.57,4.19
639949,3,APH10246729,3.61,1.97
639950,3,APH10348604,3.32,9.39
639951,3,APH10562388,4.1,3.63
639952,3,APH10233914,6.36,5.98
639953,3,APH10806768,3.45,2.74
